,First Row Mean,Second Row Mean
Arenalw_Lasswell,0.0143626570915619,0.0072886297376093
Ptlw_Lasswell,0.0368043087971274,0.0311423270606944
Nation_Lasswell,0.0017953321364452,0.0007951232441028
Anomie_Lasswell,0.0,0.0002650410813676
Negaff_Lasswell,0.0035906642728904,0.0050357805459846
Posaff_Lasswell,0.0026929982046678,0.0129870129870129
Surelw_Lasswell,0.0323159784560143,0.0258415054333421
If_Lasswell,0.0152603231597845,0.0194805194805194
Notlw_Lasswell,0.0098743267504488,0.0155049032600053
Timespc_Lasswell,0.0583482944344703,0.0500927643784786
formlw_Lasswell,0.0224416517055655,0.0229260535382984
Anger_EmoLex_neg_3,0.0329566854990583,0.0225352112676056
Anticipation_EmoLex_neg_3,0.0367231638418079,0.03
Disgust_EmoLex_neg_3,0.0103578154425612,0.0147887323943661
Fear_EmoLex_neg_3,0.0216572504708097,0.0187323943661971
Joy_EmoLex_neg_3,0.032015065913371,0.028169014084507
Negative_EmoLex_neg_3,0.0470809792843691,0.0466197183098591
Positive_EmoLex_neg_3,0.0819209039548022,0.0647887323943662
Sadness_EmoLex_neg_3,0.0357815442561205,0.0270422535211267
Surprise_EmoLex_neg_3,0.0103578154425612,0.0126760563380281
Trust_EmoLex_neg_3,0.0508474576271186,0.0369014084507042
Valence_neg_3,6.200779220779218,6.044383802816901
Valence_nwords_neg_3,0.4495856873822973,0.483550704225352
Arousal_neg_3,5.290129870129872,5.3053169014084665
Arousal_nwords_neg_3,0.3835593220338983,0.4244253521126773
Dominance_neg_3,5.6463636363636365,5.4025528169014025
Dominance_nwords_neg_3,0.4093879472693031,0.4322042253521121
pleasantness_neg_3,0.1334920634920634,0.0751321100917432
attention_neg_3,0.2394563492063493,0.2139571865443425
sensitivity_neg_3,-0.0884642857142857,-0.0745877675840976
aptitude_neg_3,0.2068095238095238,0.1673694189602445
polarity_neg_3,0.1604722222222222,0.1089969418960242
hu_liu_pos_perc_neg_3,0.5526315789473685,0.4971537001897533
hu_liu_neg_perc_neg_3,0.4473684210526316,0.5028462998102466
hu_liu_pos_nwords_neg_3,0.03770197486535,0.0347157811050748
hu_liu_neg_nwords_neg_3,0.0305206463195691,0.0351132900490261
hu_liu_prop_neg_3,1.2352941176470589,0.9886792452830188
Positiv_GI_neg_3,0.0903954802259887,0.0870422535211267
Negativ_GI_neg_3,0.059322033898305,0.0735211267605633
Pstv_GI_neg_3,0.0856873822975518,0.0826760563380281
Affil_GI_neg_3,0.0602636534839924,0.0714084507042253
Ngtv_GI_neg_3,0.0536723163841807,0.0677464788732394
Hostile_GI_neg_3,0.0338983050847457,0.0425352112676056
Strong_GI_neg_3,0.1318267419962335,0.1123943661971831
Power_GI_neg_3,0.0461393596986817,0.0530985915492957
Weak_GI_neg_3,0.0357815442561205,0.0522535211267605
Submit_GI_neg_3,0.0150659133709981,0.0185915492957746
Active_GI_neg_3,0.135593220338983,0.1315492957746478
Passive_GI_neg_3,0.0696798493408663,0.1083098591549295
Pleasur_GI_neg_3,0.0028248587570621,0.0073239436619718
Pain_GI_neg_3,0.0084745762711864,0.0129577464788732
Feel_GI_neg_3,0.0,0.000281690140845
Arousal_GI_neg_3,0.0329566854990583,0.0407042253521126
Emot_GI_neg_3,0.0263653483992467,0.0459154929577464
Virtue_GI_neg_3,0.0433145009416195,0.0464788732394366
Vice_GI_neg_3,0.0141242937853107,0.0230985915492957
Ovrst_GI_neg_3,0.0819209039548022,0.0604225352112676
Undrst_GI_neg_3,0.0348399246704331,0.0483098591549295
Academ_GI_neg_3,0.0056497175141242,0.0038028169014084
Doctrin_GI_neg_3,0.0103578154425612,0.0052112676056338
Econ_2_GI_neg_3,0.0338983050847457,0.0304225352112676
Exch_GI_neg_3,0.0047080979284369,0.0028169014084507
Econ_GI_neg_3,0.0602636534839924,0.0228169014084507
Exprsv_GI_neg_3,0.0094161958568738,0.0080281690140845
Legal_GI_neg_3,0.0094161958568738,0.0076056338028169
Milit_GI_neg_3,0.0028248587570621,0.0012676056338028
Polit_2_GI_neg_3,0.019774011299435,0.0076056338028169
Polit_GI_neg_3,0.0357815442561205,0.012112676056338
Relig_GI_neg_3,0.0,0.0004225352112676
Role_GI_neg_3,0.0489642184557438,0.042112676056338
Coll_GI_neg_3,0.0244821092278719,0.0156338028169014
Work_GI_neg_3,0.0621468926553672,0.0352112676056338
Ritual_GI_neg_3,0.0056497175141242,0.0069014084507042
Socrel_GI_neg_3,0.0621468926553672,0.0729577464788732
Race_GI_neg_3,0.0,0.0
Kin_2_GI_neg_3,0.0047080979284369,0.0159154929577464
Male_GI_neg_3,0.0122410546139359,0.0083098591549295
Female_GI_neg_3,0.0225988700564971,0.0384507042253521
Nonadlt_GI_neg_3,0.0028248587570621,0.002394366197183
Hu_GI_neg_3,0.0725047080979284,0.0576056338028169
Ani_GI_neg_3,0.0009416195856873,0.0004225352112676
Place_GI_neg_3,0.0244821092278719,0.0135211267605633
Social_GI_neg_3,0.0160075329566855,0.0046478873239436
Region_GI_neg_3,0.0103578154425612,0.0029577464788732
Route_GI_neg_3,0.0,0.0001408450704225
Aquatic_GI_neg_3,0.0,0.0
Land_GI_neg_3,0.0037664783427495,0.0016901408450704
Sky_GI_neg_3,0.0,0.0001408450704225
Object_GI_neg_3,0.0216572504708097,0.0353521126760563
Tool_GI_neg_3,0.0122410546139359,0.0169014084507042
Food_GI_neg_3,0.0009416195856873,0.0008450704225352
Vehicle_GI_neg_3,0.0,0.0001408450704225
Bldgpt_GI_neg_3,0.0018832391713747,0.0030985915492957
Comnobj_GI_neg_3,0.0047080979284369,0.0087323943661971
Natobj_GI_neg_3,0.0028248587570621,0.0094366197183098
Bodypt_GI_neg_3,0.0,0.0030985915492957
Comform_GI_neg_3,0.0310734463276836,0.0407042253521126
Com_GI_neg_3,0.0225988700564971,0.0269014084507042
Say_GI_neg_3,0.0,0.0009859154929577
Need_GI_neg_3,0.0216572504708097,0.0253521126760563
Goal_GI_neg_3,0.0028248587570621,0.0049295774647887
Try_GI_neg_3,0.0112994350282485,0.0138028169014084
Means_GI_neg_3,0.0329566854990583,0.038169014084507
Persist_GI_neg_3,0.0094161958568738,0.0069014084507042
Complet_GI_neg_3,0.0160075329566855,0.0201408450704225
Fail_GI_neg_3,0.0028248587570621,0.0115492957746478
