Feature,Mean Difference,Std Group 1,Std Group 2,Significant
Arenalw_Lasswell,0.010042876743291629,0.01917569485948402,0.004447767965803098,False
Ptlw_Lasswell,0.013960684099330038,0.035080850163794294,0.013925722293419679,False
Nation_Lasswell,0.0011881913626149037,0.0034520259165059766,0.0010019871557847655,False
Anomie_Lasswell,-0.0002069536423841,0.0,0.0008015280103905847,False
Negaff_Lasswell,-0.00032410203206475465,0.006627844226898512,0.0035413234190901474,False
Posaff_Lasswell,-0.009954149943959215,0.004507468719583036,0.0071648751854609125,True
Surelw_Lasswell,0.009488195099172828,0.017139304607736015,0.01042889245885412,False
If_Lasswell,-0.004849062890016388,0.014186691810496001,0.009860766848798634,False
Notlw_Lasswell,-0.0033939979244844536,0.01754455479874825,0.009191336714404493,False
Timespc_Lasswell,0.009047258880505615,0.0190070295895531,0.009514513498870029,False
formlw_Lasswell,-0.00445739089935317,0.01924981640776276,0.011001587904570639,False
negative_adjectives_component,0.13646211257118557,1.3407527797442222,0.6877595017188949,False
social_order_component,-0.06408049212732525,0.16692669280638697,0.09408131981587674,False
action_component,-0.04700775975074245,0.16240046540773526,0.06305446843255563,False
positive_adjectives_component,-0.14754854939265238,0.3094186441582656,0.1716745770275068,False
joy_component,-0.2758929134679955,0.4920391957383554,0.28129801323908377,False
affect_friends_and_family_component,-0.06776355046717897,0.16421323074071728,0.1701209010338224,False
fear_and_digust_component,-0.00956680661115733,0.12949389057953925,0.041876118378906056,False
politeness_component,0.12449396136118704,0.14798317202243919,0.04053564076675401,True
polarity_nouns_component,0.20038098605116184,0.31547031245185825,0.18319881581804634,False
polarity_verbs_component,-0.05294365189968875,0.20580585470578322,0.18724759267796287,False
virtue_adverbs_component,0.10300091465658354,0.2514947394092229,0.2182866389431801,False
positive_nouns_component,0.224661414681715,0.5749583178577555,0.397322011065978,False
respect_component,0.0860840270901423,0.16799236919153182,0.05747033049131749,False
trust_verbs_component,0.01627459917708851,0.05041376217442669,0.07031767520315316,False
failure_component,-0.020955341977874714,0.09955958947011269,0.05986509693930575,False
well_being_component,-0.1446319825494059,0.045664702687729763,0.054958586437824544,True
economy_component,0.009549318571244067,0.08866962360667481,0.06492028003462107,False
certainty_component,-0.003241206422455345,0.09771587879054829,0.06019599774084808,False
positive_verbs_component,-0.14795723819257553,0.6595472831729612,0.4645540041406173,False
objects_component,-0.07493984346071833,0.04332618552044599,0.06795420660630405,True
