,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,Cluster_KMeans
Abs_2_GI,0.0426018034849396,0.024216635750776372,0.030742164860893637,0.011283590201554294,0
Abs_GI,0.05610158707375097,0.033265417476654915,0.027599166846516525,0.012959658752574193,0
Quality_GI,0.02908951245593595,0.02164282173849468,0.01735233093140342,0.00994502787397913,0
Quan_GI,0.07856640720612704,0.06521163990311854,0.04121717013128748,0.01695000998925651,0
Numb_GI,0.0027721822541966297,0.004096047022623031,0.005849562709011276,0.004004286139506409,0
Ord_GI,0.00071942446043165,0.0019100685173812186,0.002275019899401697,0.003359591588266222,0
Card_GI,0.00205275779376498,0.0021859785052417997,0.00456309821169157,0.002608605482327855,0
Freq_GI,0.009910050414490511,0.007001229324720263,0.00882716979711923,0.005605648910062821,0
Dist_GI,0.0,0.0007539782043179063,0.0,0.002119656509473154,0
Time_2_GI,0.0397650084934415,0.032961732370718526,0.02999649154435201,0.01131273672448435,0
Time_GI,0.01349978358881132,0.008689146224486424,0.010102691834946175,0.006029142371617052,0
Space_GI,0.07414870219661548,0.054274757118388514,0.06286181804736869,0.015841669382181546,0
Pos_GI,0.00850788599889318,0.0028585977054730064,0.01963797993757576,0.003969639186854648,0
Dim_GI,0.01335071574154684,0.002926644412766944,0.018536107820789998,0.002923189569393149,0
Rel_GI,0.02327806465332255,0.03615193852959611,0.022514115754018738,0.012721743860185939,0
Color_GI,0.0,0.0,0.0,0.0,0
Self_GI,0.030405633859853547,0.05622223219635481,0.023749328789503556,0.02148958713673019,0
Our_GI,0.00477646303178566,0.0024827633497679566,0.005304738309032394,0.0028831162255060047,0
You_GI,0.00133333333333333,0.004774895354723756,0.004216370213557828,0.0062546624557373465,0
Name_GI,0.00465410220678082,0.0007054922417496124,0.007479212777546999,0.0013551916084695807,0
Yes_GI,0.00944910485718051,0.0062636863416229436,0.019449400940005173,0.006606975577560075,0
No_GI,0.0008403361344537799,0.003053219422012444,0.0026573761850154395,0.005668561337533885,0
Negate_GI,0.011948284138555539,0.017343660002222157,0.008517745335872564,0.008412531477803298,0
Intrj_GI,0.01425258992700506,0.019858656556486862,0.020484307388230857,0.009787755007864263,0
Iav_GI,0.1836832634513523,0.17505170320006025,0.030686402271524183,0.022976813824276604,0
Dav_GI,0.05195637748587858,0.08075415141455253,0.02632780709417354,0.015530061151795563,0
Sv_GI,0.08797716574414938,0.1057968547585453,0.03136276844583986,0.024598464038015785,0
Ipadj_GI,0.0,0.0011094527818727251,0.0,0.0030216275136406828,0
Indadj_GI,0.0020825721592985,0.0029345536602435373,0.004491478945269849,0.0032177583937914875,0
Powgain_Lasswell,0.00673880260521809,0.004529303918422431,0.007019487193904435,0.00589608302991176,0
Powloss_Lasswell,0.00801991150442477,0.007906101897463692,0.019934110542154364,0.006356196157975167,0
Powends_Lasswell,0.00221828908554571,0.0011970374536615187,0.004794491995388998,0.002248014899469271,0
Powaren_Lasswell,0.01167739540974154,0.0005033500203718749,0.01889248224275047,0.00106748803067979,0
Powcon_Lasswell,0.0036522972142762704,0.006478181177770831,0.006497523129312469,0.004331745133292163,0
Powcoop_Lasswell,0.00261024763887855,0.0025794499596818628,0.00592303626973791,0.003784921033536427,0
Powaupt_Lasswell,0.00627436738621856,0.003638736043491863,0.007589010346144713,0.0023048945947948376,0
Powpt_Lasswell,0.00218894587973191,0.0012489673863753813,0.0036235063199169274,0.0018225663144134866,0
Powdoct_Lasswell,0.00071942446043165,0.0012965799948501562,0.002275019899401697,0.0024223409151303,0
Powauth_Lasswell,0.0,0.0008911353851296063,0.0,0.0013005879868658867,0
Powoth_Lasswell,0.01922262732799618,0.013145841880735594,0.017263302487428713,0.006753723332145817,0
Powtot_Lasswell,0.062437352760250954,0.04137374933142024,0.026957236382458616,0.01127441537649705,0
Rcethic_Lasswell,0.02752765133137136,0.020693441757880564,0.018708978211480754,0.008729015393973525,0
Rcrelig_Lasswell,0.0,0.0007191766566766438,0.0,0.0014179572924343515,0
Rcgain_Lasswell,0.013463546259256099,0.0033367006517246436,0.018648906784736432,0.003586026135243575,0
Rcloss_Lasswell,0.0,0.0,0.0,0.0,0
Rcends_Lasswell,0.0016806722689075599,0.0026710966277357813,0.005314752370030879,0.003842695780750669,0
Rctot_Lasswell,0.034782525597239974,0.026857564661237787,0.021424737932593127,0.011186642630118034,0
Rspgain_Lasswell,0.00470464233124079,0.0043219859146434066,0.006598593265257838,0.0037675012127359893,0
Rsploss_Lasswell,0.00988800419604687,0.006189197353368243,0.01957366978152206,0.006652640401400814,0
Rspoth_Lasswell,0.02270728401714895,0.009660919403830914,0.018566453457543937,0.00704324604446935,0
Rsptot_Lasswell,0.036459594409982844,0.020067936005175986,0.034069864551457,0.008958993286158685,0
Affgain_Lasswell,0.01206574944392284,0.015679484332680863,0.011526409245394848,0.006594912514273987,0
Affloss_Lasswell,0.0,0.00035804731203781877,0.0,0.0007716339710645765,0
Affpt_Lasswell,0.01274766246256811,0.01194468390092877,0.01382303946117191,0.010145889118714084,0
Affoth_Lasswell,0.01450081022291309,0.015777565694835696,0.013031604798253488,0.00819026174076988,0
Afftot_Lasswell,0.02928930580840474,0.034361493860001154,0.023165368358136196,0.015532853876114415,0
Wltpt_Lasswell,0.0026943389091726604,0.0016699662723775937,0.005069158209988196,0.002596823729436458,0
Wlttran_Lasswell,0.00429065184939256,0.0016537834150014627,0.005840802859978511,0.002062448346884297,0
Wltoth_Lasswell,0.01413860590515655,0.01933338403735702,0.016723147149667165,0.010534863383588867,0
Wlttot_Lasswell,0.02112359666372179,0.02246813985246697,0.019330310829226708,0.010852104204585352,0
Wlbgain_Lasswell,0.0020825721592985,0.0035198212525211813,0.004491478945269849,0.00343699825999326,0
Wlbloss_Lasswell,0.00235876872272673,0.008760442213069632,0.005424883179342086,0.008875776481635081,0
Wlbphys_Lasswell,0.00575010667082277,0.019105280265124015,0.008784855954693995,0.007910601662891212,0
Wlbpsyc_Lasswell,0.00500330132310027,0.012266083795450675,0.006252025935984324,0.009105299261908376,0
